#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
    114 -0.023727 -0.054795 -0.136596        1    5.65215077E-07  2.09037287E-07  9.37597093E-09  6.02704388E-07
    115 -0.015818 -0.054795 -0.136596        1    1.99446722E-07  9.69984971E-07  9.06090669E-07  1.34225562E-06
    116 -0.007909 -0.054795 -0.136596        1    9.69596437E-09  2.65067713E-07  1.49845760E-06  1.52175230E-06
    117  0.000000 -0.054795 -0.136596        1    1.22488264E-07  4.94334659E-08  1.53399711E-07  2.02431503E-07
    118  0.007909 -0.054795 -0.136596        1    9.52020341E-08  1.06505527E-09  7.17786715E-07  7.24073428E-07
    119  0.015818 -0.054795 -0.136596        1    4.53716169E-07  4.09800563E-08  3.03223496E-07  5.47249683E-07
    120  0.023727 -0.054795 -0.136596        1    1.30328758E-06  3.98144819E-07  7.16520812E-08  1.36462883E-06
    121  0.031636 -0.054795 -0.136596        1    1.72372588E-07  1.45081412E-07  8.63334586E-08  2.41276587E-07
    122  0.039545 -0.054795 -0.136596        1    2.67961965E-07  4.57114902E-08  2.36634768E-06  2.38190984E-06
    123  0.047453 -0.054795 -0.136596        1    5.79725872E-08  2.53816899E-07  2.47901306E-07  3.59498117E-07
    124  0.055362 -0.054795 -0.136596        1    3.99308376E-07  1.66032614E-06  7.05863933E-07  1.84780247E-06
    125  0.063271 -0.054795 -0.136596        1    8.11354224E-07  1.33015433E-06  9.65371490E-07  1.83290707E-06
    126 -0.122588 -0.047945 -0.136596        1    9.46337659E-07  6.33369597E-08  2.64689274E-07  9.84696373E-07
    127 -0.114679 -0.047945 -0.136596        1    7.50400840E-07  9.75920236E-07  4.70078284E-07  1.31776148E-06
    128 -0.106770 -0.047945 -0.136596        1    9.51536726E-07  1.96321557E-07  1.37377777E-06  1.68262582E-06
    129 -0.098861 -0.047945 -0.136596        1    9.83910844E-08  1.79312632E-08  9.06339075E-08  1.34969778E-07
    130 -0.090952 -0.047945 -0.136596        1    5.78903579E-07  1.35827555E-07  2.80633311E-07  6.57520747E-07
    131 -0.083044 -0.047945 -0.136596        1    6.37499980E-07  2.63602049E-07  4.98667806E-07  8.51211986E-07
    132 -0.075135 -0.047945 -0.136596        1    1.15953222E-06  1.92728813E-08  7.16991968E-08  1.16190670E-06
    133 -0.067226 -0.047945 -0.136596        1    3.77701200E-07  4.04372871E-08  7.16058256E-08  3.86549822E-07
    134 -0.059317 -0.047945 -0.136596        1    1.71745664E-07  7.50958420E-07  1.58450988E-07  7.86474308E-07
    135 -0.051408 -0.047945 -0.136596        1    1.27285555E-07  3.34983249E-07  6.90752473E-07  7.78173739E-07
    136 -0.043499 -0.047945 -0.136596        1    4.99080456E-07  1.70404379E-06  1.06581338E-06  2.07094295E-06
    137 -0.035590 -0.047945 -0.136596        1    7.69502561E-08  7.89167204E-09  2.91763383E-07  3.01843489E-07
    138 -0.027681 -0.047945 -0.136596        1    7.50112860E-07  5.18837029E-07  2.98472049E-07  9.59659694E-07
    139 -0.019772 -0.047945 -0.136596        1    1.02032878E-06  3.15611651E-07  4.39363699E-07  1.15486882E-06
    140 -0.011863 -0.047945 -0.136596        1    1.75161893E-07  1.10773622E-06  4.04066281E-07  1.19206995E-06
    141 -0.003954 -0.047945 -0.136596        1    8.21096475E-08  2.16057770E-07  7.58294144E-08  2.43255122E-07
    142  0.003954 -0.047945 -0.136596        1    2.32033322E-07  1.25588419E-06  7.23040364E-07  1.46760755E-06
    143  0.011863 -0.047945 -0.136596        1    2.46301710E-07  8.59860247E-07  1.02771796E-07  9.00325618E-07
    144  0.019772 -0.047945 -0.136596        1    8.31269988E-08  2.29792529E-07  3.34876043E-07  4.14555990E-07
    145  0.027681 -0.047945 -0.136596        1    1.69010498E-07  3.08511154E-08  5.40438711E-07  5.67089358E-07
    146  0.035590 -0.047945 -0.136596        1    1.14822242E-08  3.84181579E-07  1.99556465E-08  3.84870829E-07
    147  0.043499 -0.047945 -0.136596        1    7.23165223E-07  6.40217718E-07  2.66207114E-08  9.66206669E-07
    148  0.051408 -0.047945 -0.136596        1    4.48941556E-08  2.05820172E-08  2.65884025E-07  2.70431912E-07
    149  0.059317 -0.047945 -0.136596        1    1.13869271E-07  1.67680229E-07  1.46093878E-06  1.47493220E-06
    150  0.067226 -0.047945 -0.136596        1    7.31985682E-07  2.88456350E-08  1.27387824E-06  1.46949001E-06
    151 -0.118634 -0.041096 -0.136596        1    2.36267045E-06  2.19159274E-07  1.67035629E-07  2.37868522E-06
    152 -0.110725 -0.041096 -0.136596        1    1.44707471E-06  1.61584108E-07  8.66881543E-07  1.69458498E-06
    153 -0.102816 -0.041096 -0.136596        1    1.41246909E-06  7.74672187E-07  3.42455010E-07  1.64695517E-06
    154 -0.094907 -0.041096 -0.136596        1    8.96667013E-07  1.55026530E-07  3.06652213E-07  9.60250247E-07
    155 -0.086998 -0.041096 -0.136596        1    5.08668835E-07  2.73412460E-07  8.47412937E-07  1.02547893E-06
    156 -0.079089 -0.041096 -0.136596        1    1.17362070E-06  7.14954398E-07  1.00458809E-06  1.70227571E-06
    157 -0.071180 -0.041096 -0.136596        1    1.35014809E-07  8.94338826E-08  2.41867010E-07  2.91079145E-07
    158 -0.063271 -0.041096 -0.136596        1    5.06698813E-07  1.34346510E-08  3.40522346E-08  5.08019420E-07
    159 -0.055362 -0.041096 -0.136596        1    3.01103079E-07  4.62862654E-07  7.32756327E-07  9.17516613E-07
    160 -0.047453 -0.041096 -0.136596        1    1.35331304E-08  8.38017096E-07  7.69660246E-07  1.13790715E-06
    161 -0.039545 -0.041096 -0.136596        1    4.53443858E-07  4.67026273E-07  2.83400038E-06  2.90779694E-06
    162 -0.031636 -0.041096 -0.136596        1    2.93836472E-07  3.03779366E-08  1.00320012E-07  3.11972428E-07
    163 -0.023727 -0.041096 -0.136596        1    1.98136499E-07  1.03143339E-06  2.85906987E-07  1.08851078E-06
    164 -0.015818 -0.041096 -0.136596        1    6.46287157E-07  1.68084414E-07  1.44774528E-06  1.59433555E-06
    165 -0.007909 -0.041096 -0.136596        1    3.66962518E-07  2.70919959E-07  1.43958931E-06  1.51012466E-06
    166  0.000000 -0.041096 -0.136596        1    8.49666441E-07  1.56347000E-07  2.19557824E-07  8.91393899E-07
    167  0.007909 -0.041096 -0.136596        1    7.60059817E-07  2.96483891E-07  2.58723939E-06  2.71282165E-06
    168  0.015818 -0.041096 -0.136596        1    2.55546342E-07  3.00873626E-07  2.15210195E-07  4.49604604E-07
    169  0.023727 -0.041096 -0.136596        1    1.11938402E-06  4.90857759E-08  5.86253956E-07  1.26456463E-06
    170  0.031636 -0.041096 -0.136596        1    3.97593887E-07  3.49764309E-07  1.75959224E-06  1.83754750E-06
    171  0.039545 -0.041096 -0.136596        1    8.22762513E-07  5.20401050E-07  3.80232378E-08  9.74269559E-07
    172  0.047453 -0.041096 -0.136596        1    5.61060400E-07  2.32565610E-07  1.91664093E-08  6.07653591E-07
    173  0.055362 -0.041096 -0.136596        1    5.70144189E-08  1.52141098E-07  7.42958680E-08  1.78654510E-07
    174  0.063271 -0.041096 -0.136596        1    3.89382640E-08  2.67083992E-07  3.96341585E-07  4.79517152E-07
    175  0.071180 -0.041096 -0.136596        1    1.28042275E-06  8.16671773E-08  3.55747694E-06  3.78177129E-06
    176 -0.114679 -0.034247 -0.136596        1    7.86373608E-07  1.56220598E-07  1.17517270E-06  1.42261000E-06
    177 -0.106770 -0.034247 -0.136596        1    5.62486425E-07  7.35653694E-09  3.24947019E-07  6.49642719E-07
    178 -0.098861 -0.034247 -0.136596        1    1.38325396E-06  7.74354295E-07  2.52062192E-06  2.97767543E-06
    179 -0.090952 -0.034247 -0.136596        1    1.24259229E-06  6.41990073E-07  5.17355019E-07  1.49125554E-06
    180 -0.083044 -0.034247 -0.136596        1    7.75503864E-07  1.49532768E-07  6.15252093E-07  1.00115005E-06
    181 -0.075135 -0.034247 -0.136596        1    4.00943625E-07  1.14728413E-07  1.87084266E-07  4.57076495E-07
    182 -0.067226 -0.034247 -0.136596        1    2.29569198E-06  6.55215060E-08  1.74753658E-07  2.30326585E-06
    183 -0.059317 -0.034247 -0.136596        1    2.48880385E-06  1.59960302E-06  1.10377432E-06  3.15771946E-06
    184 -0.051408 -0.034247 -0.136596        1    6.78377716E-07  1.59856048E-07  2.25839318E-06  2.36349107E-06
    185 -0.043499 -0.034247 -0.136596        1    5.16508043E-07  2.32725175E-07  1.15045150E-08  5.66633849E-07
    186 -0.035590 -0.034247 -0.136596        1    4.36457710E-08  1.35430477E-06  1.07783456E-07  1.35928792E-06
    187 -0.027681 -0.034247 -0.136596        1    1.21658258E-06  5.49014293E-08  2.32320873E-07  1.23978238E-06
    188 -0.019772 -0.034247 -0.136596        1    1.12750655E-07  4.31966727E-08  1.66530028E-06  1.66967173E-06
    189 -0.011863 -0.034247 -0.136596        1    9.47459585E-07  4.37639966E-07  3.44902887E-07  1.09916623E-06
    190 -0.003954 -0.034247 -0.136596        1    3.32896156E-07  7.24848455E-07  4.68193788E-07  9.24894890E-07
    191  0.003954 -0.034247 -0.136596        1    2.69837556E-07  5.18358854E-07  5.56173511E-07  8.06744806E-07
    192  0.011863 -0.034247 -0.136596        1    3.02834957E-07  7.36270613E-07  9.06118486E-08  8.01257720E-07
    193  0.019772 -0.034247 -0.136596        1    2.12567897E-07  5.38853052E-07  1.48467791E-06  1.59368008E-06
    194  0.027681 -0.034247 -0.136596        1    5.56772262E-07  5.40336948E-07  1.93671998E-07  7.99667563E-07
    195  0.035590 -0.034247 -0.136596        1    1.13374586E-06  1.01054701E-07  2.73082889E-07  1.17054090E-06
    196  0.043499 -0.034247 -0.136596        1    8.41013296E-09  6.62690428E-07  2.59774638E-07  7.11837198E-07
    197  0.051408 -0.034247 -0.136596        1    5.68098961E-08  1.40774124E-07  2.03949295E-07  2.54244043E-07
    198  0.059317 -0.034247 -0.136596        1    7.04211411E-07  2.15512485E-07  1.10928656E-06  1.33149390E-06
    199  0.067226 -0.034247 -0.136596        1    4.71595519E-07  9.26597861E-07  5.76014807E-07  1.18860380E-06
    200  0.075135 -0.034247 -0.136596        1    8.13893162E-08  9.14222309E-07  5.16943557E-07  1.05340272E-06
    201 -0.110725 -0.027397 -0.136596        1    1.53116495E-07  6.04821417E-08  4.16008737E-07  4.47399173E-07
    202 -0.102816 -0.027397 -0.136596        1    2.12530939E-07  5.43439342E-07  2.22434827E-07  6.24478159E-07
    203 -0.094907 -0.027397 -0.136596        1    3.19276338E-08  3.11050892E-07  6.88614696E-07  7.56281846E-07
    204 -0.086998 -0.027397 -0.136596        1    4.73367526E-07  1.77960466E-07  3.05872054E-07  5.91019844E-07
    205 -0.079089 -0.027397 -0.136596        1    1.57031344E-07  4.11886296E-09  1.04011581E-06  1.05191097E-06
    206 -0.071180 -0.027397 -0.136596        1    4.22208951E-08  1.23836962E-06  9.38867605E-07  1.55461066E-06
    207 -0.063271 -0.027397 -0.136596        1    7.44968880E-07  6.29591333E-07  1.74400959E-08  9.75534744E-07
    208 -0.055362 -0.027397 -0.136596        1    9.05497390E-07  6.26601867E-07  1.35765853E-06  1.74808241E-06
    209 -0.047453 -0.027397 -0.136596        1    7.93608703E-07  4.27568858E-07  1.23362683E-06  1.52789563E-06
    210 -0.039545 -0.027397 -0.136596        1    1.99183413E-08  1.23609250E-07  5.32341558E-07  5.46867005E-07
    211 -0.031636 -0.027397 -0.136596        1    1.60294506E-06  3.44625534E-07  8.92286458E-07  1.86664800E-06
    212 -0.023727 -0.027397 -0.136596        1    1.24764916E-06  4.31367375E-08  9.71307845E-07  1.58174844E-06
    213 -0.015818 -0.027397 -0.136596        1    3.16613095E-08  1.45908658E-07  5.25089140E-07  5.45903270E-07
    214 -0.007909 -0.027397 -0.136596        1    1.84366590E-07  7.68444248E-07  6.83926383E-08  7.93205619E-07
    215  0.000000 -0.027397 -0.136596        1    3.92732101E-08  8.02555149E-07  4.52311026E-07  9.22075060E-07
    216  0.007909 -0.027397 -0.136596        1    2.82771971E-07  2.95770755E-07  3.10352431E-07  5.13574687E-07
    217  0.015818 -0.027397 -0.136596        1    9.22731283E-07  8.41152164E-07  3.21167301E-07  1.28923172E-06
    218  0.023727 -0.027397 -0.136596        1    6.60119064E-08  1.48510509E-07  2.93706917E-08  1.65153203E-07
    219  0.031636 -0.027397 -0.136596        1    1.61417342E-07  3.79765123E-07  3.85379653E-07  5.64618972E-07
